Iteration,Award Category,Winner,Film
6,Best Actor,Charles Laughton,The Private Life of Henry VIII
6,Best Actor,Leslie Howard,Berkeley Square
6,Best Actor,Paul Muni,I Am a Fugitive from a Chain Gang
6,Best Actress,Katharine Hepburn,Morning Glory
6,Best Actress,May Robson,Lady for a Day
6,Best Actress,Diana Wynyard,Cavalcade
6,Best Writing (Original Story),One Way Passage,One Way Passage
6,Best Writing (Original Story),The Prizefighter and the Lady,The Prizefighter and the Lady
6,Best Writing (Original Story),Rasputin and the Empress,Rasputin and the Empress
6,Best Writing (Adaptation),Little Women,Little Women
6,Best Writing (Adaptation),Lady for a Day,Lady for a Day
6,Best Writing (Adaptation),State Fair,State Fair
6,Best Art Direction,Cavalcade,Cavalcade
6,Best Art Direction,A Farewell to Arms,A Farewell to Arms
6,Best Art Direction,When Ladies Meet,When Ladies Meet
6,Best Cinematography,A Farewell to Arms,A Farewell to Arms
6,Best Cinematography,Reunion in Vienna,Reunion in Vienna
6,Best Cinematography,Sign of the Cross,Sign of the Cross
6,Best Short Subject (Comedy),So This Is Harris! –Louis Brock and RKO Pictures Mister Mugg,So This Is Harris!
6,Best Short Subject (Comedy),Mister Mugg,Mister Mugg
6,Best Short Subject (Comedy),A Preferred List,A Preferred List
6,Best Short Subject (Novelty),Krakatoa,Krakatoa
6,Best Short Subject (Novelty),Menu,Menu
6,Best Short Subject (Novelty),The Sea,The Sea
6,Best Short Subject (Cartoon),The Three Little Pigs,The Three Little Pigs
6,Best Short Subject (Cartoon),Building a Building,Building a Building
6,Best Short Subject (Cartoon),The Merry Old Soul,The Merry Old Soul
6,Best Sound Recording,A Farewell to Arms,A Farewell to Arms
6,Best Sound Recording,42nd Street,42nd Street
6,Best Sound Recording,Gold Diggers of 1933,Gold Diggers of 1933
6,Best Sound Recording,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang
6,Best Assistant Director,Charles Barton,Paramount
6,Best Assistant Director,Scott Beal,Universal
6,Best Assistant Director,Charles Dorian,MGM
6,Best Assistant Director,Fred Fox,United Artists
6,Best Assistant Director,Gordon Hollingshead,Warner Bros.
6,Best Assistant Director,Dewey Starkey,RKO
6,Best Assistant Director,William Tummel,20th Century Fox Al Alleborn – Warner Bros. Sid Brod – Paramount Orville O. Dull – MGM Percy Ikerd – 20th Century Fox Arthur Jacobson – Paramount Edward Killy – RKO Joseph A. McDonough – Universal William J. Reiter – Universal Frank X. Shaw – Warner Bros. Ben Silvey – United Artists John S. Waters – MGM
6,Best Assistant Director,Al Alleborn,Warner Bros.
6,Best Assistant Director,Sid Brod,Paramount
6,Best Assistant Director,Orville O. Dull,MGM
6,Best Assistant Director,Percy Ikerd,20th Century Fox
6,Best Assistant Director,Arthur Jacobson,Paramount
6,Best Assistant Director,Edward Killy,RKO
6,Best Assistant Director,Joseph A. McDonough,Universal
6,Best Assistant Director,William J. Reiter,Universal
6,Best Assistant Director,Frank X. Shaw,Warner Bros.
6,Best Assistant Director,Ben Silvey,United Artists
6,Best Assistant Director,John S. Waters,MGM
7,Outstanding Production,It Happened One Night,It Happened One Night
7,Outstanding Production,The Barretts of Wimpole Street,The Barretts of Wimpole Street
7,Outstanding Production,Cleopatra,Cleopatra
7,Outstanding Production,Flirtation Walk,Flirtation Walk
7,Outstanding Production,The Gay Divorcee,The Gay Divorcee
7,Outstanding Production,Here Comes the Navy,Here Comes the Navy
7,Outstanding Production,The House of Rothschild,The House of Rothschild
7,Outstanding Production,Imitation of Life,Imitation of Life
7,Outstanding Production,One Night of Love,One Night of Love
7,Outstanding Production,The Thin Man,The Thin Man
7,Outstanding Production,Viva Villa!,Viva Villa!
7,Outstanding Production,The White Parade,The White Parade
7,Best Directing,Frank Capra,It Happened One Night
7,Best Directing,Victor Schertzinger,One Night of Love
7,Best Directing,W. S. Van Dyke,The Thin Man
7,Best Actor,Clark Gable,It Happened One Night
7,Best Actor,Frank Morgan,The Affairs of Cellini
7,Best Actor,William Powell,The Thin Man
7,Best Actress,Claudette Colbert,It Happened One Night
7,Best Actress,Bette Davis,Of Human Bondage
7,Best Actress,Grace Moore,One Night of Love
7,Best Actress,Norma Shearer,The Barretts of Wimpole Street
7,Best Writing (Original Story),Manhattan Melodrama,Manhattan Melodrama
7,Best Writing (Original Story),Hide-Out,Hide-Out
7,Best Writing (Original Story),The Richest Girl in the World,The Richest Girl in the World
7,Best Writing (Adaptation),It Happened One Night,It Happened One Night
