Nomination_Award_Name,Nomination_Iteration_Number,Film,Winner
Best Film Editing,81,The Dark Knight,The Dark Knight
Best Film Editing,82,Avatar,Avatar
Best Film Editing,82,District 9,District 9
Best Film Editing,82,Inglourious Basterds,Inglourious Basterds
Best Film Editing,82,Precious: Based on the Novel 'Push' by Sapphire,Precious: Based on the Novel 'Push' by Sapphire
Best Film Editing,82,The Hurt Locker,The Hurt Locker
Best Film Editing,83,127 Hours,127 Hours
Best Film Editing,83,Black Swan,Black Swan
Best Film Editing,83,The Fighter,The Fighter
Best Film Editing,83,The King's Speech,The King's Speech
Best Film Editing,83,The Social Network,The Social Network
Best Film Editing,84,Hugo,Hugo
Best Film Editing,84,Moneyball,Moneyball
Best Film Editing,84,The Artist,The Artist
Best Film Editing,84,The Descendants,The Descendants
Best Film Editing,84,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
Best Film Editing,85,Argo,Argo
Best Film Editing,85,Life of Pi,Life of Pi
Best Film Editing,85,Lincoln,Lincoln
Best Film Editing,85,Silver Linings Playbook,Silver Linings Playbook
Best Film Editing,85,Zero Dark Thirty,Zero Dark Thirty
Best Film Editing,86,12 Years a Slave,12 Years a Slave
Best Film Editing,86,American Hustle,American Hustle
Best Film Editing,86,Captain Phillips,Captain Phillips
Best Film Editing,86,Dallas Buyers Club,Dallas Buyers Club
Best Film Editing,86,Gravity,Gravity
Best Film Editing,87,American Sniper,American Sniper
Best Film Editing,87,Boyhood,Boyhood
Best Film Editing,87,The Grand Budapest Hotel,The Grand Budapest Hotel
Best Film Editing,87,The Imitation Game,The Imitation Game
Best Film Editing,87,Whiplash,Whiplash
Best Film Editing,88,Mad Max: Fury Road,Mad Max: Fury Road
Best Film Editing,88,Spotlight,Spotlight
Best Film Editing,88,Star Wars: The Force Awakens,Star Wars: The Force Awakens
Best Film Editing,88,The Big Short,The Big Short
Best Film Editing,88,The Revenant,The Revenant
Best Film Editing,89,Arrival,Arrival
Best Film Editing,89,Hacksaw Ridge,Hacksaw Ridge
Best Film Editing,89,Hell or High Water,Hell or High Water
Best Film Editing,89,La La Land,La La Land
Best Film Editing,89,Moonlight,Moonlight
Best Film Editing,90,Baby Driver,Baby Driver
Best Film Editing,90,Dunkirk,Dunkirk
Best Film Editing,90,"I, Tonya","I, Tonya"
Best Film Editing,90,The Shape of Water,The Shape of Water
Best Film Editing,90,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri"
Best Film Editing,91,BlacKkKlansman,BlacKkKlansman
Best Film Editing,91,Bohemian Rhapsody,Bohemian Rhapsody
Best Film Editing,91,Green Book,Green Book
Best Film Editing,91,The Favourite,The Favourite
Best Film Editing,91,Vice,Vice
Best Film Editing,92,Ford v Ferrari,Ford v Ferrari
Best Film Editing,92,Jojo Rabbit,Jojo Rabbit
Best Film Editing,92,Joker,Joker
Best Film Editing,92,Parasite,Parasite
Best Film Editing,92,The Irishman,The Irishman
Best Film Editing,93,Nomadland,Nomadland
Best Film Editing,93,Promising Young Woman,Promising Young Woman
Best Film Editing,93,Sound of Metal,Sound of Metal
Best Film Editing,93,The Father,The Father
Best Film Editing,93,The Trial of the Chicago 7,The Trial of the Chicago 7
Best Film Editing,94,Don't Look Up,Don't Look Up
Best Film Editing,94,Dune,Dune
Best Film Editing,94,King Richard,King Richard
Best Film Editing,94,The Power of the Dog,The Power of the Dog
Best Film Editing,94,"Tick, Tick... Boom!","Tick, Tick... Boom!"
Best Film Editing,95,Elvis,Elvis
Best Film Editing,95,Everything Everywhere All at Once,Everything Everywhere All at Once
Best Film Editing,95,Tár,Tár
Best Film Editing,95,The Banshees of Inisherin,The Banshees of Inisherin
Best Film Editing,95,Top Gun: Maverick,Top Gun: Maverick
Best Film Editing,96,Anatomy of a Fall,Anatomy of a Fall
Best Film Editing,96,Killers of the Flower Moon,Killers of the Flower Moon
Best Film Editing,96,Oppenheimer,Oppenheimer
Best Film Editing,96,Poor Things,Poor Things
Best Film Editing,96,The Holdovers,The Holdovers
Best Film Editing,97,Anora,Anora
Best Film Editing,97,Conclave,Conclave
Best Film Editing,97,Emilia Pérez,Emilia Pérez
Best Film Editing,97,The Brutalist,The Brutalist
Best Film Editing,97,Wicked,Wicked
Best Foreign Language Film,50,A Special Day,A Special Day (Italy) in Italian
Best Foreign Language Film,50,Iphigenia,Iphigenia (Greece) in Greek
Best Foreign Language Film,50,Madame Rosa,Madame Rosa (France) in French
Best Foreign Language Film,50,Operation Thunderbolt,"Operation Thunderbolt (Israel) in Hebrew, English, Arabic, German, French, and Spanish"
Best Foreign Language Film,50,That Obscure Object of Desire,That Obscure Object of Desire (Spain) in Spanish
Best Foreign Language Film,51,Get Out Your Handkerchiefs,Get Out Your Handkerchiefs (France) in French
Best Foreign Language Film,51,Hungarians,Hungarians (Hungary) in Hungarian
Best Foreign Language Film,51,The Glass Cell,The Glass Cell (West Germany) in German
Best Foreign Language Film,51,Viva Italia!,Viva Italia! (Italy) in Italian
Best Foreign Language Film,51,White Bim Black Ear,White Bim Black Ear (Soviet Union) in Russian
Best Foreign Language Film,52,A Simple Story,A Simple Story (France) in English and French
Best Foreign Language Film,52,Mama Turns 100,Mama Turns 100 (Spain) in Spanish
Best Foreign Language Film,52,The Maids of Wilko,The Maids of Wilko (Poland) in Polish
Best Foreign Language Film,52,The Tin Drum,The Tin Drum (Federal Republic of Germany) in German
Best Foreign Language Film,52,To Forget Venice,To Forget Venice (Italy) in Italian
Best Foreign Language Film,53,Confidence,Confidence (Hungary) in Hungarian
Best Foreign Language Film,53,Kagemusha,Kagemusha (Japan) in Japanese
Best Foreign Language Film,53,Moscow Does Not Believe in Tears,Moscow Does Not Believe in Tears (Soviet Union) in Russian
Best Foreign Language Film,53,The Last Metro,The Last Metro (France) in French
Best Foreign Language Film,53,The Nest,The Nest (Spain) in Spanish
Best Foreign Language Film,54,Man of Iron,Man of Iron (Poland) in Polish
Best Foreign Language Film,54,Mephisto,Mephisto (Hungary) in German
Best Foreign Language Film,54,Muddy River,Muddy River (Japan) in Japanese
Best Foreign Language Film,54,The Boat Is Full,The Boat Is Full (Switzerland) in German
Best Foreign Language Film,54,Three Brothers,Three Brothers (Italy) in Italian
Best Foreign Language Film,56,Carmen,Carmen (Spain) in Spanish
Best Foreign Language Film,56,Entre Nous,Entre Nous (France) in French
Best Foreign Language Film,56,Fanny and Alexander,Fanny and Alexander (Sweden) in Swedish
Best Foreign Language Film,56,The Ball,The Ball (Algeria) with no dialogue
Best Foreign Language Film,56,The Revolt of Job,The Revolt of Job (Hungary) in Hungarian
Best Foreign Language Film,57,Beyond the Walls,Beyond the Walls (Israel) in Hebrew
Best Foreign Language Film,57,Camila,Camila (Argentina) in Spanish
Best Foreign Language Film,57,Dangerous Moves,Dangerous Moves (Switzerland) in French
Best Foreign Language Film,57,Double Feature,Double Feature (Spain) in Spanish
Best Foreign Language Film,57,Wartime Romance,Wartime Romance (USSR) in Russian
Best Foreign Language Film,58,Angry Harvest,Angry Harvest (Federal Republic of Germany) in German
Best Foreign Language Film,58,Colonel Redl,Colonel Redl (Hungary) in German
Best Foreign Language Film,58,The Official Story,The Official Story (Argentina) in Spanish
Best Foreign Language Film,58,Three Men and a Cradle,Three Men and a Cradle (France) in French
Best Foreign Language Film,58,When Father Was Away on Business,When Father Was Away on Business (Yugoslavia) in Serbo-Croatian
Best Foreign Language Film,59,38,38 (Austria) in German
Best Foreign Language Film,59,Betty Blue,Betty Blue (France) in French
Best Foreign Language Film,59,My Sweet Little Village,My Sweet Little Village (Czechoslovakia) in Czech
Best Foreign Language Film,59,The Assault,The Assault (The Netherlands) in Dutch and German
Best Foreign Language Film,59,The Decline of the American Empire,The Decline of the American Empire (Canada) in French
Best Foreign Language Film,60,Au revoir les enfants,Au revoir les enfants (France) in French
Best Foreign Language Film,60,Babette's Feast,Babette's Feast (Denmark) in Danish and French
Best Foreign Language Film,60,Course Completed,Course Completed (Spain) in Spanish
Best Foreign Language Film,60,Pathfinder,Pathfinder (Norway) in Sami
Best Foreign Language Film,60,The Family,The Family (Italy) in Italian
Best Foreign Language Film,61,Hanussen,Hanussen (Hungary) in Hungarian
Best Foreign Language Film,61,Pelle the Conqueror,Pelle the Conqueror (Denmark) in Danish
Best Foreign Language Film,61,Salaam Bombay!,Salaam Bombay! (India) in Hindi
Best Foreign Language Film,61,The Music Teacher,The Music Teacher (Belgium) in French
Best Foreign Language Film,61,Women on the Verge of a Nervous Breakdown,Women on the Verge of a Nervous Breakdown (Spain) in Spanish
Best Foreign Language Film,62,Camille Claudel,Camille Claudel (France)
Best Foreign Language Film,62,Cinema Paradiso,Cinema Paradiso (Italy)
Best Foreign Language Film,62,Jesus of Montreal,Jesus of Montreal (Canada)
Best Foreign Language Film,62,Memories of a Marriage,Memories of a Marriage (Denmark)
Best Foreign Language Film,62,What Happened to Santiago,What Happened to Santiago (Puerto Rico)
Best Foreign Language Film,63,Cyrano de Bergerac,Cyrano de Bergerac (France) in French
Best Foreign Language Film,63,Journey of Hope,Journey of Hope (Switzerland) in German
Best Foreign Language Film,63,Ju Dou,Ju Dou (China) in Mandarin Chinese
Best Foreign Language Film,63,Open Doors,Open Doors (Italy) in Italian
Best Foreign Language Film,63,The Nasty Girl,The Nasty Girl (Germany) in German
Best Foreign Language Film,64,Children of Nature,Children of Nature (Iceland) in Icelandic
Best Foreign Language Film,64,Mediterraneo,Mediterraneo (Italy) in Italian
Best Foreign Language Film,64,Raise the Red Lantern,Raise the Red Lantern (Hong Kong) in Mandarin
Best Foreign Language Film,64,The Elementary School,The Elementary School (Czechoslovakia) in Czech
Best Foreign Language Film,64,The Ox,The Ox (Sweden) in Swedish
Best Foreign Language Film,65,A Place in the World,A Place in the World (Uruguay) in Spanish
Best Foreign Language Film,65,Close to Eden,Close to Eden (Russia) in Russian
Best Foreign Language Film,65,Daens,Daens (Belgium) in Dutch
Best Foreign Language Film,65,Indochine,Indochine (France) in French
Best Foreign Language Film,65,Schtonk!,Schtonk! (Germany) in German
Best Foreign Language Film,66,Belle Époque,Belle Époque (Spain) in Spanish
Best Foreign Language Film,66,Farewell My Concubine,Farewell My Concubine (Hong Kong) in Mandarin Chinese
Best Foreign Language Film,66,Hedd Wyn,Hedd Wyn (United Kingdom) in Welsh
Best Foreign Language Film,66,The Scent of Green Papaya,The Scent of Green Papaya (Vietnam) in Vietnamese
Best Foreign Language Film,66,The Wedding Banquet,The Wedding Banquet (Taiwan) in Mandarin Chinese
Best Foreign Language Film,67,Before the Rain,"Before the Rain (FYR Macedonia) in Macedonian, Albanian, and English"
Best Foreign Language Film,67,Burnt by the Sun,Burnt by the Sun (Russia) in Russian
Best Foreign Language Film,67,Eat Drink Man Woman,Eat Drink Man Woman (Taiwan) in Mandarin Chinese
Best Foreign Language Film,67,Farinelli: Il Castrato,Farinelli: Il Castrato (Belgium) in French and Italian
Best Foreign Language Film,67,Strawberry and Chocolate,Strawberry and Chocolate (Cuba) in Spanish
Best Foreign Language Film,68,All Things Fair,All Things Fair (Sweden) in Swedish
Best Foreign Language Film,68,Antonia's Line,Antonia's Line (The Netherlands) in Dutch
Best Foreign Language Film,68,Dust of Life,Dust of Life (Algeria) in French
Best Foreign Language Film,68,O Quatrilho,O Quatrilho (Brazil) in Portuguese and Italian
Best Foreign Language Film,68,The Star Maker,The Star Maker (Italy) in Italian
Best Foreign Language Film,69,A Chef in Love,"A Chef in Love (Georgia) in French, Georgian, Russian"
Best Foreign Language Film,69,Kolya,Kolya (Czech Republic) in Czech
Best Foreign Language Film,69,Prisoner of the Mountains,Prisoner of the Mountains (Russia) in Russian
Best Foreign Language Film,69,Ridicule,Ridicule (France) in French
Best Foreign Language Film,69,The Other Side of Sunday,The Other Side of Sunday (Norway) in Norwegian
Best Foreign Language Film,70,Beyond Silence,Beyond Silence (Germany) in German
Best Foreign Language Film,70,Four Days in September,Four Days in September (Brazil) in Portuguese
Best Foreign Language Film,70,Karakter,Karakter (Netherlands) in Dutch
Best Foreign Language Film,70,Secrets of the Heart,Secrets of the Heart (Spain) in Spanish
Best Foreign Language Film,70,The Thief,The Thief (Russia) in Russian
Best Foreign Language Film,71,Central Station,Central Station (Brazil) in Portuguese
Best Foreign Language Film,71,Children of Heaven,Children of Heaven (Iran) in Persian
Best Foreign Language Film,71,Life Is Beautiful,Life Is Beautiful (Italy) in Italian
Best Foreign Language Film,71,Tango,Tango (Argentina) in Spanish
Best Foreign Language Film,71,The Grandfather,The Grandfather (Spain) in Spanish
Best Foreign Language Film,72,All About My Mother,All About My Mother (Spain) in Spanish
Best Foreign Language Film,72,East/West,East/West (France) in French
Best Foreign Language Film,72,Himalaya: Caravan,Himalaya: Caravan (Nepal) in Nepalese
Best Foreign Language Film,72,Solomon & Gaenor,Solomon & Gaenor (United Kingdom) in Welsh
Best Foreign Language Film,72,Under the Sun,Under the Sun (Sweden) in Swedish
Best Foreign Language Film,73,Amores Perros,Amores Perros (Mexico) in Spanish
Best Foreign Language Film,73,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon (Taiwan) in Mandarin"
Best Foreign Language Film,73,Divided We Fall,Divided We Fall (Czech Republic) in Czech
Best Foreign Language Film,73,Everybody's Famous!,Everybody's Famous! (Belgium) in Dutch and English
Best Foreign Language Film,73,The Taste of Others,The Taste of Others (France) in French
Best Foreign Language Film,74,Amélie,Amélie (France) in French
Best Foreign Language Film,74,Elling,Elling (Norway) in Norwegian
Best Foreign Language Film,74,Lagaan,Lagaan (India) in Hindi
Best Foreign Language Film,74,No Man's Land,No Man's Land (Bosnia and Herzegovina) in Bosnian
Best Foreign Language Film,74,Son of the Bride,Son of the Bride (Argentina) in Spanish
Best Foreign Language Film,75,Hero,Hero (China) in Mandarin
Best Foreign Language Film,75,Nowhere in Africa,Nowhere in Africa (Germany) in German
Best Foreign Language Film,75,The Crime of Father Amaro,The Crime of Father Amaro (Mexico) in Spanish
Best Foreign Language Film,75,The Man Without a Past,The Man Without a Past (Finland) in Finnish
Best Foreign Language Film,75,Zus & Zo,Zus & Zo (Netherlands) in Dutch
Best Foreign Language Film,76,Evil,Evil (Sweden) in Swedish
Best Foreign Language Film,76,The Barbarian Invasions,The Barbarian Invasions (Canada) in French
Best Foreign Language Film,76,The Twilight Samurai,The Twilight Samurai (Japan) in Japanese
Best Foreign Language Film,76,Twin Sisters,Twin Sisters (Netherlands) in Dutch
Best Foreign Language Film,76,Želary,Želary (Czech Republic) in Czech
Best Foreign Language Film,77,As It Is in Heaven,As It Is in Heaven (Sweden) in Swedish
Best Foreign Language Film,77,Downfall,Downfall (Germany) in German
Best Foreign Language Film,77,The Chorus,The Chorus (France) in French
Best Foreign Language Film,77,The Sea Inside,"The Sea Inside (Spain) in Spanish, Catalan and Galician"
Best Foreign Language Film,77,Yesterday,Yesterday (South Africa) in Zulu
Best Foreign Language Film,78,Joyeux Noël,Joyeux Noël (France) in French
Best Foreign Language Film,78,Paradise Now,Paradise Now (Palestine) in Arabic
Best Foreign Language Film,78,Sophie Scholl - The Final Days,Sophie Scholl - The Final Days (Germany) in German
Best Foreign Language Film,78,The Beast in the Heart,The Beast in the Heart (Italy) in Italian
Best Foreign Language Film,78,Tsotsi,Tsotsi (South Africa) in Afrikaans
Best Foreign Language Film,79,After the Wedding,"After the Wedding (Denmark) in Danish, Hindi, and Swedish"
Best Foreign Language Film,79,Days of Glory (Indigènes),Days of Glory (Indigènes) (Algeria) in Arabic
Best Foreign Language Film,79,Pan's Labyrinth,Pan's Labyrinth (Mexico) in Spanish
Best Foreign Language Film,79,The Lives of Others,The Lives of Others (Germany) in German
Best Foreign Language Film,79,Water,Water (Canada) in Hindi and English
Best Foreign Language Film,80,12,12 (Russia) in Russian
Best Foreign Language Film,80,Beaufort,Beaufort (Israel) in Hebrew
Best Foreign Language Film,80,Katyń,Katyń (Poland) in Polish
Best Foreign Language Film,80,Mongol,Mongol (Kazakhstan) in Russian
Best Foreign Language Film,80,The Counterfeiters,The Counterfeiters (Austria) in German
Best Foreign Language Film,81,Departures,Departures (Japan) in Japanese
Best Foreign Language Film,81,Revanche,Revanche (Austria) in German
Best Foreign Language Film,81,The Baader Meinhof Complex,The Baader Meinhof Complex (Germany) in German
Best Foreign Language Film,81,The Class,The Class (France) in French
Best Foreign Language Film,81,Waltz with Bashir,Waltz with Bashir (Israel) in Hebrew
Best Foreign Language Film,82,A Prophet,"A Prophet (France) in French, Corsican and Arabic"
Best Foreign Language Film,82,Ajami,Ajami (Israel) in Arabic and Hebrew
Best Foreign Language Film,82,The Milk of Sorrow,The Milk of Sorrow (Peru) in Spanish and Quechua
Best Foreign Language Film,82,The Secret in Their Eyes,The Secret in Their Eyes (Argentina) in Spanish
Best Foreign Language Film,82,The White Ribbon,The White Ribbon (Germany) in German
Best Foreign Language Film,83,Biutiful,Biutiful (Mexico) in Spanish
Best Foreign Language Film,83,Dogtooth,Dogtooth (Greece) in Greek
Best Foreign Language Film,83,In a Better World,In a Better World (Denmark) in Danish
Best Foreign Language Film,83,Incendies,Incendies (Canada) in French
Best Foreign Language Film,83,Outside the Law,Outside the Law (Algeria) in Arabic
Best Foreign Language Film,84,A Separation,A Separation (Iran) in Persian
Best Foreign Language Film,84,Bullhead,Bullhead (Belgium) in Dutch and French
Best Foreign Language Film,84,Footnote,Footnote (Israel) in Hebrew
Best Foreign Language Film,84,In Darkness,In Darkness (Poland) in Polish
Best Foreign Language Film,84,Monsieur Lazhar,Monsieur Lazhar (Canada) in French
Best Foreign Language Film,85,A Royal Affair,A Royal Affair (Denmark) in Danish
Best Foreign Language Film,85,Amour,Amour (Austria) in French
Best Foreign Language Film,85,Kon-Tiki,Kon-Tiki (Norway) in English and Norwegian
Best Foreign Language Film,85,No,No (Chile) in Spanish
Best Foreign Language Film,85,War Witch,War Witch (Canada) in French
Best Foreign Language Film,86,Omar,Omar (Palestine) in Arabic
Best Foreign Language Film,86,The Broken Circle Breakdown,The Broken Circle Breakdown (Belgium) in Dutch
Best Foreign Language Film,86,The Great Beauty,The Great Beauty (Italy) in Italian
Best Foreign Language Film,86,The Hunt,The Hunt (Denmark) in Danish
Best Foreign Language Film,86,The Missing Picture,The Missing Picture (Cambodia) in French
Best Foreign Language Film,87,Ida,Ida (Poland) in Polish
Best Foreign Language Film,87,Leviathan,Leviathan (Russia) in Russian
Best Foreign Language Film,87,Tangerines,Tangerines (Estonia) in Estonian and Russian
Best Foreign Language Film,87,Timbuktu,Timbuktu (Mauritania) in French
Best Foreign Language Film,87,Wild Tales,Wild Tales (Argentina) in Spanish
Best Foreign Language Film,88,A War,A War (Denmark) in Danish
Best Foreign Language Film,88,Embrace of the Serpent,Embrace of the Serpent (Colombia) in Spanish
Best Foreign Language Film,88,Mustang,Mustang (France) in Turkish
Best Foreign Language Film,88,Son of Saul,Son of Saul (Hungary) in Hungarian
Best Foreign Language Film,88,Theeb,Theeb (Jordan) in Arabic
Best Foreign Language Film,89,A Man Called Ove,A Man Called Ove (Sweden) in Swedish
Best Foreign Language Film,89,Land of Mine,Land of Mine (Denmark) in Danish
Best Foreign Language Film,89,Tanna,Tanna (Australia) in Nauvhal
Best Foreign Language Film,89,The Salesman,The Salesman (Iran) in Persian
Best Foreign Language Film,89,Toni Erdmann,Toni Erdmann (Germany) in German
Best Foreign Language Film,90,A Fantastic Woman,A Fantastic Woman (Chile) in Spanish
Best Foreign Language Film,90,Loveless,Loveless (Russia) in Russian
Best Foreign Language Film,90,On Body and Soul,On Body and Soul (Hungary) in Hungarian
Best Foreign Language Film,90,The Insult,The Insult (Lebanon) in Arabic
Best Foreign Language Film,90,The Square,The Square (Sweden) in Swedish
Best Foreign Language Film,91,Capernaum,Capernaum (Lebanon) in Arabic
Best Foreign Language Film,91,Cold War,Cold War (Poland) in Polish and French
Best Foreign Language Film,91,Never Look Away,Never Look Away (Germany) in German
Best Foreign Language Film,91,Roma,Roma (Mexico) in Spanish and Mixtec
Best Foreign Language Film,91,Shoplifters,Shoplifters (Japan) in Japanese
Best International Feature Film,92,Corpus Christi,Corpus Christi (Poland) in Polish
Best International Feature Film,92,Honeyland,Honeyland (North Macedonia) in Turkish and Macedonian
Best International Feature Film,92,Les Misérables,Les Misérables (France) in French
Best International Feature Film,92,Pain and Glory,Pain and Glory (Spain) in Spanish
Best International Feature Film,92,Parasite,Parasite (South Korea) in Korean
Best International Feature Film,93,Another Round,Another Round (Denmark) in Danish
Best International Feature Film,93,Better Days,Better Days (Hong Kong) in Mandarin
Best International Feature Film,93,Collective,Collective (Romania) in Romanian
Best International Feature Film,93,"Quo Vadis, Aida?","Quo Vadis, Aida? (Bosnia and Herzegovina) in Bosnian"
Best International Feature Film,93,The Man Who Sold His Skin,The Man Who Sold His Skin (Tunisia) in Arabic
Best International Feature Film,94,Drive My Car,Drive My Car (Japan) in Japanese
Best International Feature Film,94,Flee,Flee (Denmark) in Danish
Best International Feature Film,94,Lunana: A Yak in the Classroom,Lunana: A Yak in the Classroom (Bhutan) in Dzongkha
Best International Feature Film,94,The Hand of God,The Hand of God (Italy) in Italian
Best International Feature Film,94,The Worst Person in the World,The Worst Person in the World (Norway) in Norwegian
Best International Feature Film,95,All Quiet on the Western Front,All Quiet on the Western Front (Germany)
Best International Feature Film,95,"Argentina, 1985","Argentina, 1985 (Argentina)"
Best International Feature Film,95,Close,Close (Belgium)
Best International Feature Film,95,EO,EO (Poland)
Best International Feature Film,95,The Quiet Girl,The Quiet Girl (Ireland)
Best International Feature Film,96,Io capitano,Io capitano (Italy) in Wolof and French
Best International Feature Film,96,Perfect Days,Perfect Days (Japan) in Japanese
Best International Feature Film,96,Society of the Snow,Society of the Snow (Spain) in Spanish
Best International Feature Film,96,The Teachers' Lounge,"The Teachers' Lounge (Germany) in German, Turkish, Polish, and English"
Best International Feature Film,96,The Zone of Interest,"The Zone of Interest (United Kingdom) in German, Polish, and Yiddish"
Best International Feature Film,97,Emilia Pérez,Emilia Pérez (France) in Spanish
Best International Feature Film,97,Flow,Flow (Latvia)
Best International Feature Film,97,I'm Still Here,I'm Still Here (Brazil) in Portuguese
Best International Feature Film,97,The Girl with the Needle,The Girl with the Needle (Denmark) in Danish
Best International Feature Film,97,The Seed of the Sacred Fig,The Seed of the Sacred Fig (Germany) in Persian
"Best Live Action Short Subject, Comedy",5,Scratch-As-Catch-Can,Scratch-As-Catch-Can
"Best Live Action Short Subject, Comedy",5,The Loud Mouth,The Loud Mouth
"Best Live Action Short Subject, Comedy",5,The Music Box,The Music Box
"Best Live Action Short Subject, Novelty",5,Screen Souvenirs,Screen Souvenirs
"Best Live Action Short Subject, Novelty",5,Swing High,Swing High
"Best Live Action Short Subject, Novelty",5,Wrestling Swordfish,Wrestling Swordfish
Best Makeup,54,An American Werewolf in London,An American Werewolf in London
Best Makeup,54,Heartbeeps,Heartbeeps
Best Makeup,57,2010,2010
Best Makeup,57,Amadeus,Amadeus
Best Makeup,57,"Greystoke: The Legend of Tarzan, Lord of the Apes","Greystoke: The Legend of Tarzan, Lord of the Apes"
Best Makeup,58,Mask,Mask
Best Makeup,58,Remo Williams: The Adventure Begins,Remo Williams: The Adventure Begins
Best Makeup,58,The Color Purple,The Color Purple
Best Makeup,59,Legend,Legend
Best Makeup,59,The Clan of the Cave Bear,The Clan of the Cave Bear
Best Makeup,59,The Fly,The Fly
Best Makeup,60,Happy New Year,Happy New Year
Best Makeup,60,Harry and the Hendersons,Harry and the Hendersons
Best Makeup,61,Beetlejuice,Beetlejuice
Best Makeup,61,Coming to America,Coming to America
Best Makeup,61,Scrooged,Scrooged
Best Makeup,62,Dad,Dad
Best Makeup,62,Driving Miss Daisy,Driving Miss Daisy
Best Makeup,62,The Adventures of Baron Munchausen,The Adventures of Baron Munchausen
Best Makeup,63,Cyrano de Bergerac,Cyrano de Bergerac
Best Makeup,63,Dick Tracy,Dick Tracy
Best Makeup,63,Edward Scissorhands,Edward Scissorhands
Best Makeup,64,Hook,Hook
Best Makeup,64,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country
Best Makeup,64,Terminator 2: Judgment Day,Terminator 2: Judgment Day
Best Makeup,65,Batman Returns,Batman Returns
Best Makeup,65,Bram Stoker's Dracula,Bram Stoker's Dracula
Best Makeup,65,Hoffa,Hoffa
Best Makeup,66,Mrs. Doubtfire,Mrs. Doubtfire
Best Makeup,66,Philadelphia,Philadelphia
Best Makeup,66,Schindler's List,Schindler's List
Best Makeup,67,Ed Wood,Ed Wood
Best Makeup,67,Forrest Gump,Forrest Gump
Best Makeup,67,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein
Best Makeup,68,Braveheart,Braveheart
Best Makeup,68,"My Family, Mi Familia","My Family, Mi Familia"
Best Makeup,68,Roommates,Roommates
Best Makeup,69,Ghosts of Mississippi,Ghosts of Mississippi
Best Makeup,69,Star Trek: First Contact,Star Trek: First Contact
Best Makeup,69,The Nutty Professor,The Nutty Professor
Best Makeup,70,Men in Black,Men in Black
Best Makeup,70,Mrs Brown,Mrs Brown
Best Makeup,70,Titanic,Titanic
Best Makeup,71,Elizabeth,Elizabeth
Best Makeup,71,Saving Private Ryan,Saving Private Ryan
Best Makeup,71,Shakespeare in Love,Shakespeare in Love
Best Makeup,72,Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me
Best Makeup,72,Bicentennial Man,Bicentennial Man
Best Makeup,72,Life,Life
Best Makeup,72,Topsy-Turvy,Topsy-Turvy
Best Makeup,73,How the Grinch Stole Christmas,How the Grinch Stole Christmas
Best Makeup,73,Shadow of the Vampire,Shadow of the Vampire
Best Makeup,73,The Cell,The Cell
Best Makeup,74,A Beautiful Mind,A Beautiful Mind
Best Makeup,74,Moulin Rouge!,Moulin Rouge!
Best Makeup,74,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
Best Makeup,75,Frida,Frida
Best Makeup,75,The Time Machine,The Time Machine
Best Makeup,76,Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World
Best Makeup,76,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl
Best Makeup,76,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
Best Makeup,77,Lemony Snicket's A Series of Unfortunate Events,Lemony Snicket's A Series of Unfortunate Events
Best Makeup,77,The Passion of the Christ,The Passion of the Christ
Best Makeup,77,The Sea Inside,The Sea Inside
Best Makeup,78,Cinderella Man,Cinderella Man
Best Makeup,78,Star Wars: Episode III – Revenge of the Sith,Star Wars: Episode III
Best Makeup,78,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Best Makeup,79,Apocalypto,Apocalypto
Best Makeup,79,Click,Click
Best Makeup,79,Pan's Labyrinth,Pan's Labyrinth
Best Makeup,80,La Vie en Rose,La Vie en Rose
Best Makeup,80,Norbit,Norbit
Best Makeup,80,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End
Best Makeup,81,Hellboy II: The Golden Army,Hellboy II: The Golden Army
Best Makeup,81,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button
Best Makeup,81,The Dark Knight,The Dark Knight
Best Makeup,82,Il Divo,Il Divo
Best Makeup,82,Star Trek,Star Trek
Best Makeup,82,The Young Victoria,The Young Victoria
Best Makeup,83,Barney's Version,Barney's Version
Best Makeup,83,The Way Back,The Way Back
Best Makeup,83,The Wolfman,The Wolfman
Best Makeup,84,Albert Nobbs,Albert Nobbs
Best Makeup,84,Harry Potter and the Deathly Hallows – Part 2,Harry Potter and the Deathly Hallows
Best Makeup,84,The Iron Lady,The Iron Lady
Best Makeup and Hairstyling,85,Hitchcock,Hitchcock
Best Makeup and Hairstyling,85,Les Misérables,Les Misérables
